"Sex","BodyWeight","HeartWeight"
"female","Quantity[2.3, ""Kilograms""]","Quantity[11.2, ""Grams""]"
"female","Quantity[2.4, ""Kilograms""]","Quantity[6.3, ""Grams""]"
"female","Quantity[2.4, ""Kilograms""]","Quantity[8.7, ""Grams""]"
"female","Quantity[2.4, ""Kilograms""]","Quantity[8.8, ""Grams""]"
"female","Quantity[2.4, ""Kilograms""]","Quantity[10.2, ""Grams""]"
"female","Quantity[2.5, ""Kilograms""]","Quantity[9, ""Grams""]"
"female","Quantity[2.5, ""Kilograms""]","Quantity[10.9, ""Grams""]"
"female","Quantity[2.6, ""Kilograms""]","Quantity[8.7, ""Grams""]"
"female","Quantity[2.6, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[2.6, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[2.7, ""Kilograms""]","Quantity[8.5, ""Grams""]"
"female","Quantity[2.7, ""Kilograms""]","Quantity[10.2, ""Grams""]"
"female","Quantity[2.7, ""Kilograms""]","Quantity[10.8, ""Grams""]"
"female","Quantity[2.9, ""Kilograms""]","Quantity[9.9, ""Grams""]"
"female","Quantity[2.9, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[2.9, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[3, ""Kilograms""]","Quantity[10.6, ""Grams""]"
"female","Quantity[3, ""Kilograms""]","Quantity[13, ""Grams""]"
"male","Quantity[2, ""Kilograms""]","Quantity[6.5, ""Grams""]"
"male","Quantity[2, ""Kilograms""]","Quantity[6.5, ""Grams""]"
"male","Quantity[2.1, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[7.2, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[7.6, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[7.9, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[8.5, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[9.1, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"male","Quantity[2.2, ""Kilograms""]","Quantity[10.7, ""Grams""]"
"male","Quantity[2.3, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"male","Quantity[2.4, ""Kilograms""]","Quantity[7.3, ""Grams""]"
"male","Quantity[2.4, ""Kilograms""]","Quantity[7.9, ""Grams""]"
"male","Quantity[2.4, ""Kilograms""]","Quantity[7.9, ""Grams""]"
"male","Quantity[2.4, ""Kilograms""]","Quantity[9.1, ""Grams""]"
"male","Quantity[2.4, ""Kilograms""]","Quantity[9.3, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[7.9, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[8.6, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[8.8, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[8.8, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[9.3, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[11, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[12.7, ""Grams""]"
"male","Quantity[2.5, ""Kilograms""]","Quantity[12.7, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[7.7, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[8.3, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[9.4, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[9.4, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[10.5, ""Grams""]"
"male","Quantity[2.6, ""Kilograms""]","Quantity[11.5, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[8, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[9, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[9.8, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[10.4, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[11.1, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[12, ""Grams""]"
"male","Quantity[2.7, ""Kilograms""]","Quantity[12.5, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[9.1, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[10, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[10.2, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[11.4, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[12, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[13.3, ""Grams""]"
"male","Quantity[2.8, ""Kilograms""]","Quantity[13.5, ""Grams""]"
"male","Quantity[2.9, ""Kilograms""]","Quantity[9.4, ""Grams""]"
"male","Quantity[2.9, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"male","Quantity[2.9, ""Kilograms""]","Quantity[10.6, ""Grams""]"
"male","Quantity[2.9, ""Kilograms""]","Quantity[11.3, ""Grams""]"
"male","Quantity[2.9, ""Kilograms""]","Quantity[11.8, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[10, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[10.4, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[10.6, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[11.6, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[12.2, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[12.4, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[12.7, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[13.3, ""Grams""]"
"male","Quantity[3, ""Kilograms""]","Quantity[13.8, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[9.9, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[11.5, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[12.1, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[12.5, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[13, ""Grams""]"
"male","Quantity[3.1, ""Kilograms""]","Quantity[14.3, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[11.6, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[11.9, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[12.3, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[13, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[13.5, ""Grams""]"
"male","Quantity[3.2, ""Kilograms""]","Quantity[13.6, ""Grams""]"
"male","Quantity[3.3, ""Kilograms""]","Quantity[11.5, ""Grams""]"
"male","Quantity[3.3, ""Kilograms""]","Quantity[12, ""Grams""]"
"male","Quantity[3.3, ""Kilograms""]","Quantity[14.1, ""Grams""]"
"male","Quantity[3.3, ""Kilograms""]","Quantity[14.9, ""Grams""]"
"male","Quantity[3.3, ""Kilograms""]","Quantity[15.4, ""Grams""]"
"male","Quantity[3.4, ""Kilograms""]","Quantity[11.2, ""Grams""]"
"male","Quantity[3.4, ""Kilograms""]","Quantity[12.2, ""Grams""]"
"male","Quantity[3.4, ""Kilograms""]","Quantity[12.4, ""Grams""]"
"male","Quantity[3.4, ""Kilograms""]","Quantity[12.8, ""Grams""]"
"male","Quantity[3.4, ""Kilograms""]","Quantity[14.4, ""Grams""]"
"male","Quantity[3.5, ""Kilograms""]","Quantity[11.7, ""Grams""]"
"male","Quantity[3.5, ""Kilograms""]","Quantity[12.9, ""Grams""]"
"male","Quantity[3.5, ""Kilograms""]","Quantity[15.6, ""Grams""]"
"male","Quantity[3.5, ""Kilograms""]","Quantity[15.7, ""Grams""]"
"male","Quantity[3.5, ""Kilograms""]","Quantity[17.2, ""Grams""]"
"male","Quantity[3.6, ""Kilograms""]","Quantity[11.8, ""Grams""]"
"male","Quantity[3.6, ""Kilograms""]","Quantity[13.3, ""Grams""]"
"male","Quantity[3.6, ""Kilograms""]","Quantity[14.8, ""Grams""]"
"male","Quantity[3.6, ""Kilograms""]","Quantity[15, ""Grams""]"
"male","Quantity[3.7, ""Kilograms""]","Quantity[11, ""Grams""]"
"male","Quantity[3.8, ""Kilograms""]","Quantity[14.8, ""Grams""]"
"male","Quantity[3.8, ""Kilograms""]","Quantity[16.8, ""Grams""]"
"male","Quantity[3.9, ""Kilograms""]","Quantity[14.4, ""Grams""]"
"male","Quantity[3.9, ""Kilograms""]","Quantity[20.5, ""Grams""]"
